experiment,ngram_min,ngram_max,number_of_features,train_non_zero_values,train_density,vectorization_seconds,training_seconds,total_seconds,best_epoch,validation_accuracy,validation_precision,validation_recall,validation_f1
unigram,1,1,20000,2580136,0.006507935226756798,3.28456219999498,15.6888445999939,19.362994700000854,8,0.8664245359160614,0.8550330353672756,0.8838891120932101,0.8692216515211378
unigram_bigram,1,2,20000,4128409,0.010413179135347828,11.743551400002616,14.402151900001627,28.98959449999529,8,0.8803470540758677,0.8680124223602484,0.8983527521092808,0.8829220138203356
