experiment,epoch,train_loss,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,seconds
unigram,1,0.6716060789281038,0.6500652117340482,0.8438256658595642,0.8713728886964054,0.8083567697870631,0.838682784493539,1.989200299998629
unigram,2,0.6276011155050109,0.6129054529614945,0.8486682808716707,0.8507462686567164,0.8473282442748091,0.8490338164251208,1.7583904000057373
unigram,3,0.5895922453764414,0.5808887499007994,0.8516949152542372,0.8591318591318591,0.8429087987143431,0.8509430135875076,1.6488624999983585
unigram,4,0.5565445094027277,0.5530212574951874,0.8555286521388217,0.8578926120306822,0.8537565287263962,0.85581957309706,1.7848718999957782
unigram,5,0.5275115401089471,0.5286640314155283,0.8595641646489104,0.8528138528138528,0.870630775411812,0.8616302186878728,1.6923199999946519
unigram,6,0.5019502298057859,0.5071864464381128,0.8617836965294592,0.8520686963309914,0.8770590598633989,0.8643832904375371,1.7476718000034452
unigram,7,0.4791521783424832,0.48813019239488775,0.864406779661017,0.8569744597249509,0.8762555243069505,0.866507747318236,2.5491649999967194
unigram,8,0.45874838040225385,0.4711937857694064,0.8664245359160614,0.8550330353672756,0.8838891120932101,0.8692216515211378,2.497707399998035
unigram_bigram,1,0.6655623274638964,0.6384050968291781,0.8621872477804681,0.8688725490196079,0.8545600642828445,0.8616568766457363,1.7558206000030623
unigram_bigram,2,0.6115219481524297,0.593083909002401,0.8660209846650525,0.857702861622893,0.8790678987545198,0.8682539682539683,2.0344174999991083
unigram_bigram,3,0.5666054566849591,0.5553680388940929,0.8682405165456013,0.8669064748201439,0.8714343109682603,0.8691644960929673,1.8605883000054746
unigram_bigram,4,0.5288489920841736,0.5235249616620615,0.8698547215496368,0.8644268774703557,0.8786661309762958,0.8714883442916915,2.0136084999976447
unigram_bigram,5,0.4966216277569218,0.4964513231228204,0.8736884584342212,0.8609066253390159,0.8927280032141423,0.8765285996055227,1.5230188999994425
unigram_bigram,6,0.468967745063019,0.4731281724690044,0.8753026634382567,0.862175764614789,0.8947368421052632,0.8781545741324921,1.4649095999993733
unigram_bigram,7,0.44483973946213173,0.4528640577204291,0.8789346246973365,0.8685134607881388,0.894335074327039,0.8812351543942993,1.846846699998423
unigram_bigram,8,0.42364615830079533,0.4352002767086799,0.8803470540758677,0.8680124223602484,0.8983527521092808,0.8829220138203356,1.893215299998701
